,ppo_local_initial_local_crossings,ppo_local_improvement,ppo_local,ppo_local_solved,ppo_local_runtime,ppo_local_steps
grafo11046.97.gml,20.0,6.0,14.0,False,3.34,599.0
grafo8244.72.gml,15.0,8.0,7.0,False,2.43,599.0
grafo3993.52.gml,19.0,8.0,11.0,False,2.65,599.0
grafo7768.42.gml,4.0,2.0,2.0,False,1.04,599.0
grafo8288.82.gml,15.0,8.0,7.0,False,1.53,599.0
grafo9750.77.gml,11.0,3.0,8.0,False,1.6,599.0
grafo5241.42.gml,7.0,4.0,3.0,False,1.04,599.0
grafo3184.91.gml,21.0,11.0,10.0,False,1.89,599.0
grafo11588.36.gml,5.0,1.0,4.0,False,1.04,599.0
grafo3343.58.gml,5.0,3.0,2.0,False,1.06,599.0
grafo5436.42.gml,7.0,2.0,5.0,False,1.22,599.0
grafo574.12.gml,3.0,2.0,1.0,True,0.31,229.0
grafo4243.78.gml,14.0,5.0,9.0,False,1.66,599.0
grafo9001.66.gml,24.0,8.0,16.0,False,1.81,599.0
grafo8099.75.gml,22.0,11.0,11.0,False,1.64,599.0
grafo11198.98.gml,18.0,4.0,14.0,False,2.27,599.0
grafo1683.11.gml,6.0,5.0,1.0,True,0.47,307.0
grafo1274.57.gml,3.0,2.0,1.0,True,0.47,268.0
grafo8528.84.gml,18.0,7.0,11.0,False,1.66,599.0
grafo9065.70.gml,7.0,3.0,4.0,False,1.35,599.0
grafo3876.94.gml,13.0,4.0,9.0,False,1.85,599.0
grafo3566.36.gml,5.0,3.0,2.0,False,0.91,599.0
grafo10828.97.gml,19.0,4.0,15.0,False,2.29,599.0
grafo11192.92.gml,9.0,4.0,5.0,False,1.36,599.0
grafo7634.56.gml,15.0,5.0,10.0,False,1.67,599.0
grafo4234.78.gml,17.0,5.0,12.0,False,1.82,599.0
grafo6239.56.gml,9.0,3.0,6.0,False,1.33,599.0
grafo10317.91.gml,13.0,1.0,12.0,False,1.95,599.0
grafo9978.41.gml,7.0,5.0,2.0,False,1.04,599.0
grafo8116.60.gml,19.0,12.0,7.0,False,1.42,599.0
grafo3704.52.gml,9.0,4.0,5.0,False,1.28,599.0
grafo10370.98.gml,18.0,7.0,11.0,False,1.99,599.0
grafo6851.49.gml,7.0,3.0,4.0,False,1.17,599.0
grafo9821.77.gml,10.0,5.0,5.0,False,1.35,599.0
grafo10891.95.gml,15.0,6.0,9.0,False,1.64,599.0
grafo6684.56.gml,5.0,3.0,2.0,False,1.21,599.0
grafo11248.99.gml,20.0,10.0,10.0,False,1.99,599.0
grafo7161.37.gml,3.0,2.0,1.0,True,0.3,221.0
grafo6970.44.gml,3.0,1.0,2.0,False,1.0,599.0
grafo7940.83.gml,19.0,3.0,16.0,False,2.07,599.0
grafo7529.93.gml,22.0,9.0,13.0,False,2.04,599.0
grafo7843.81.gml,9.0,0.0,9.0,False,1.61,599.0
grafo7132.87.gml,17.0,4.0,13.0,False,1.66,599.0
grafo3122.56.gml,15.0,5.0,10.0,False,1.59,599.0
grafo6616.45.gml,7.0,3.0,4.0,False,1.2,599.0
grafo9293.74.gml,9.0,3.0,6.0,False,1.49,599.0
grafo6760.54.gml,8.0,4.0,4.0,False,1.15,599.0
grafo2166.20.gml,4.0,3.0,1.0,True,0.37,261.0
grafo4129.78.gml,19.0,8.0,11.0,False,1.87,599.0
grafo8225.88.gml,21.0,9.0,12.0,False,1.79,599.0
grafo6488.49.gml,10.0,4.0,6.0,False,1.19,599.0
grafo9690.63.gml,19.0,9.0,10.0,False,1.56,599.0
grafo8200.76.gml,17.0,7.0,10.0,False,1.61,599.0
grafo8734.89.gml,10.0,5.0,5.0,False,1.37,599.0
grafo3476.42.gml,8.0,4.0,4.0,False,1.23,599.0
grafo5389.58.gml,22.0,8.0,14.0,False,1.69,599.0
grafo7755.40.gml,11.0,4.0,7.0,False,1.27,599.0
grafo6480.38.gml,9.0,5.0,4.0,False,1.03,599.0
grafo10464.96.gml,15.0,8.0,7.0,False,1.66,599.0
grafo8473.93.gml,11.0,3.0,8.0,False,1.67,599.0
grafo8031.68.gml,10.0,3.0,7.0,False,1.48,599.0
grafo7204.41.gml,6.0,2.0,4.0,False,1.09,599.0
grafo8629.84.gml,19.0,4.0,15.0,False,1.92,599.0
grafo10089.37.gml,6.0,3.0,3.0,False,1.04,599.0
grafo3365.43.gml,15.0,2.0,13.0,False,1.6,599.0
grafo9514.68.gml,12.0,4.0,8.0,False,1.4,599.0
grafo6962.40.gml,10.0,4.0,6.0,False,1.19,599.0
grafo10214.94.gml,16.0,1.0,15.0,False,1.97,599.0
grafo3567.52.gml,13.0,8.0,5.0,False,1.26,599.0
grafo733.43.gml,5.0,2.0,3.0,False,0.96,599.0
grafo3573.43.gml,7.0,2.0,5.0,False,1.17,599.0
grafo6191.41.gml,10.0,7.0,3.0,False,0.99,599.0
grafo4185.54.gml,7.0,4.0,3.0,False,1.22,599.0
grafo6161.47.gml,28.0,18.0,10.0,False,1.42,599.0
grafo4374.52.gml,18.0,10.0,8.0,False,1.36,599.0
grafo2787.24.gml,5.0,3.0,2.0,False,0.99,599.0
grafo9169.67.gml,23.0,7.0,16.0,False,1.96,599.0
grafo5255.47.gml,12.0,5.0,7.0,False,1.27,599.0
grafo4403.57.gml,14.0,8.0,6.0,False,1.37,599.0
grafo9945.91.gml,13.0,1.0,12.0,False,1.87,599.0
grafo3638.57.gml,9.0,5.0,4.0,False,1.34,599.0
grafo5012.53.gml,9.0,2.0,7.0,False,1.3,599.0
grafo3114.40.gml,8.0,5.0,3.0,False,1.15,599.0
grafo7248.41.gml,5.0,3.0,2.0,False,1.05,599.0
grafo4736.52.gml,11.0,7.0,4.0,False,1.14,599.0
grafo9770.79.gml,12.0,4.0,8.0,False,1.61,599.0
grafo3608.42.gml,4.0,3.0,1.0,True,0.7,431.0
grafo6310.42.gml,13.0,5.0,8.0,False,1.36,599.0
grafo4065.39.gml,6.0,4.0,2.0,False,0.87,599.0
grafo4882.53.gml,9.0,4.0,5.0,False,1.39,599.0
grafo10681.93.gml,19.0,6.0,13.0,False,1.99,599.0
grafo11495.39.gml,5.0,2.0,3.0,False,1.0,599.0
grafo5909.47.gml,14.0,11.0,3.0,False,1.09,599.0
grafo7130.90.gml,20.0,4.0,16.0,False,2.16,599.0
grafo3491.43.gml,11.0,6.0,5.0,False,1.19,599.0
grafo9983.91.gml,19.0,6.0,13.0,False,2.05,599.0
grafo8247.81.gml,27.0,14.0,13.0,False,2.02,599.0
grafo9503.77.gml,19.0,5.0,14.0,False,1.91,599.0
grafo7039.45.gml,7.0,4.0,3.0,False,1.16,599.0
grafo3170.52.gml,11.0,4.0,7.0,False,1.41,599.0
grafo5034.78.gml,9.0,5.0,4.0,False,1.29,599.0
grafo3157.55.gml,7.0,3.0,4.0,False,1.21,599.0
grafo8776.96.gml,17.0,6.0,11.0,False,1.62,599.0
grafo5048.61.gml,6.0,3.0,3.0,False,1.15,599.0
grafo2631.34.gml,4.0,3.0,1.0,True,0.37,254.0
grafo11309.36.gml,6.0,3.0,3.0,False,0.99,599.0
grafo6274.48.gml,14.0,4.0,10.0,False,1.5,599.0
grafo5395.33.gml,10.0,5.0,5.0,False,1.12,599.0
grafo2915.27.gml,8.0,5.0,3.0,False,0.95,599.0
grafo7180.40.gml,2.0,0.0,2.0,False,0.99,599.0
grafo6603.49.gml,11.0,2.0,9.0,False,1.7,599.0
grafo9350.63.gml,6.0,1.0,5.0,False,1.31,599.0
grafo6512.46.gml,4.0,2.0,2.0,False,0.94,599.0
grafo10724.92.gml,11.0,3.0,8.0,False,1.99,599.0
grafo1262.53.gml,15.0,9.0,6.0,False,1.31,599.0
grafo11666.37.gml,10.0,6.0,4.0,False,1.16,599.0
grafo137.21.gml,13.0,9.0,4.0,False,1.12,599.0
grafo8148.85.gml,15.0,2.0,13.0,False,1.92,599.0
grafo7169.44.gml,8.0,5.0,3.0,False,1.01,599.0
grafo8936.94.gml,19.0,12.0,7.0,False,1.91,599.0
grafo4633.65.gml,7.0,3.0,4.0,False,1.28,599.0
grafo9151.63.gml,13.0,6.0,7.0,False,1.4,599.0
grafo2996.37.gml,7.0,5.0,2.0,False,0.96,599.0
grafo11338.92.gml,17.0,8.0,9.0,False,1.99,599.0
grafo4791.78.gml,13.0,6.0,7.0,False,1.41,599.0
grafo4317.77.gml,16.0,7.0,9.0,False,1.52,599.0
grafo4181.61.gml,17.0,11.0,6.0,False,1.36,599.0
grafo3549.40.gml,14.0,9.0,5.0,False,1.2,599.0
grafo10524.97.gml,10.0,4.0,6.0,False,1.52,599.0
grafo8937.90.gml,14.0,7.0,7.0,False,1.84,599.0
grafo3852.52.gml,14.0,8.0,6.0,False,1.19,599.0
grafo10433.97.gml,13.0,2.0,11.0,False,1.85,599.0
grafo9052.66.gml,8.0,2.0,6.0,False,1.26,599.0
grafo3611.53.gml,7.0,4.0,3.0,False,1.1,599.0
grafo7281.46.gml,4.0,2.0,2.0,False,0.93,599.0
grafo9601.64.gml,19.0,6.0,13.0,False,1.66,599.0
grafo4900.59.gml,11.0,4.0,7.0,False,1.5,599.0
grafo8795.86.gml,15.0,6.0,9.0,False,1.6,599.0
grafo7372.41.gml,6.0,2.0,4.0,False,1.18,599.0
grafo6733.57.gml,6.0,4.0,2.0,False,1.02,599.0
grafo7881.61.gml,7.0,2.0,5.0,False,1.22,599.0
grafo9639.72.gml,3.0,1.0,2.0,False,1.0,599.0
grafo4818.65.gml,9.0,4.0,5.0,False,1.29,599.0
grafo10830.92.gml,18.0,9.0,9.0,False,1.96,599.0
grafo7770.57.gml,6.0,3.0,3.0,False,1.11,599.0
grafo8791.94.gml,26.0,9.0,17.0,False,2.15,599.0
grafo3489.63.gml,15.0,5.0,10.0,False,1.47,599.0
grafo7191.41.gml,6.0,3.0,3.0,False,1.03,599.0
grafo6711.81.gml,12.0,5.0,7.0,False,1.36,599.0
grafo2718.20.gml,8.0,6.0,2.0,False,0.86,599.0
grafo10633.100.gml,25.0,7.0,18.0,False,2.19,599.0
grafo6584.61.gml,14.0,7.0,7.0,False,1.45,599.0
grafo10343.94.gml,16.0,7.0,9.0,False,1.69,599.0
grafo5853.57.gml,18.0,7.0,11.0,False,1.52,599.0
grafo5305.63.gml,19.0,9.0,10.0,False,1.52,599.0
grafo7875.62.gml,21.0,7.0,14.0,False,1.86,599.0
grafo7510.70.gml,22.0,8.0,14.0,False,1.79,599.0
grafo9120.64.gml,14.0,5.0,9.0,False,1.55,599.0
grafo3779.52.gml,10.0,5.0,5.0,False,1.2,599.0
grafo4362.83.gml,20.0,8.0,12.0,False,1.79,599.0
grafo5766.46.gml,13.0,4.0,9.0,False,1.62,599.0
grafo7102.49.gml,7.0,3.0,4.0,False,1.18,599.0
grafo3896.38.gml,7.0,4.0,3.0,False,1.05,599.0
grafo10737.99.gml,26.0,7.0,19.0,False,2.34,599.0
grafo9704.80.gml,17.0,6.0,11.0,False,1.71,599.0
grafo4509.64.gml,9.0,4.0,5.0,False,1.37,599.0
grafo7269.40.gml,7.0,5.0,2.0,False,0.93,599.0
grafo6636.56.gml,9.0,4.0,5.0,False,1.28,599.0
grafo3992.44.gml,8.0,3.0,5.0,False,1.17,599.0
grafo9721.79.gml,22.0,4.0,18.0,False,2.07,599.0
grafo8058.80.gml,15.0,6.0,9.0,False,1.66,599.0
grafo5116.74.gml,12.0,1.0,11.0,False,1.71,599.0
grafo10688.95.gml,30.0,9.0,21.0,False,2.23,599.0
grafo11444.36.gml,7.0,5.0,2.0,False,0.93,599.0
grafo9232.69.gml,13.0,6.0,7.0,False,1.53,599.0
grafo4615.59.gml,9.0,4.0,5.0,False,1.18,599.0
grafo11322.38.gml,3.0,1.0,2.0,False,1.0,599.0
grafo7543.43.gml,4.0,2.0,2.0,False,0.93,599.0
grafo10154.94.gml,21.0,6.0,15.0,False,2.18,599.0
grafo5013.82.gml,12.0,4.0,8.0,False,1.54,599.0
grafo5694.45.gml,7.0,3.0,4.0,False,1.24,599.0
grafo10912.92.gml,29.0,8.0,21.0,False,2.21,599.0
grafo4870.75.gml,7.0,3.0,4.0,False,1.46,599.0
grafo10918.98.gml,20.0,3.0,17.0,False,2.33,599.0
grafo3927.45.gml,6.0,5.0,1.0,True,0.86,570.0
grafo6335.39.gml,8.0,2.0,6.0,False,1.13,599.0
grafo5440.44.gml,17.0,10.0,7.0,False,1.28,599.0
grafo8777.98.gml,32.0,13.0,19.0,False,2.42,599.0
grafo10352.95.gml,9.0,2.0,7.0,False,1.76,599.0
grafo5374.35.gml,5.0,4.0,1.0,True,0.31,221.0
grafo11417.37.gml,7.0,4.0,3.0,False,1.06,599.0
grafo6904.49.gml,10.0,6.0,4.0,False,1.14,599.0
grafo8385.73.gml,12.0,6.0,6.0,False,1.4,599.0
grafo8147.69.gml,9.0,3.0,6.0,False,1.23,599.0
grafo7010.49.gml,14.0,7.0,7.0,False,1.38,599.0
grafo4414.66.gml,13.0,4.0,9.0,False,1.47,599.0
grafo4373.60.gml,11.0,3.0,8.0,False,1.44,599.0
grafo8304.85.gml,23.0,6.0,17.0,False,2.2,599.0
grafo7384.45.gml,5.0,3.0,2.0,False,0.97,599.0
grafo9658.67.gml,4.0,2.0,2.0,False,1.05,599.0
grafo7751.44.gml,6.0,4.0,2.0,False,1.0,599.0
grafo3794.41.gml,11.0,8.0,3.0,False,1.01,599.0
grafo10412.94.gml,17.0,6.0,11.0,False,1.83,599.0
grafo4622.48.gml,4.0,2.0,2.0,False,0.98,599.0
grafo8005.84.gml,15.0,6.0,9.0,False,1.68,599.0
grafo2687.33.gml,6.0,3.0,3.0,False,1.12,599.0
grafo9103.80.gml,16.0,7.0,9.0,False,1.67,599.0
grafo6160.49.gml,4.0,2.0,2.0,False,0.94,599.0
grafo2843.43.gml,3.0,2.0,1.0,True,0.6,396.0
grafo8778.90.gml,22.0,10.0,12.0,False,2.06,599.0
grafo1481.61.gml,5.0,2.0,3.0,False,1.13,599.0
grafo3827.42.gml,11.0,6.0,5.0,False,1.15,599.0
grafo9191.69.gml,13.0,5.0,8.0,False,1.45,599.0
grafo4338.71.gml,16.0,6.0,10.0,False,1.59,599.0
grafo5876.40.gml,5.0,2.0,3.0,False,1.0,599.0
grafo7902.68.gml,14.0,4.0,10.0,False,1.64,599.0
grafo8708.96.gml,13.0,4.0,9.0,False,1.69,599.0
grafo3933.43.gml,4.0,1.0,3.0,False,1.1,599.0
grafo4062.56.gml,18.0,5.0,13.0,False,1.78,599.0
grafo5265.40.gml,10.0,6.0,4.0,False,1.11,599.0
grafo5824.77.gml,6.0,2.0,4.0,False,1.38,599.0
grafo4924.62.gml,9.0,3.0,6.0,False,1.4,599.0
grafo11373.38.gml,7.0,3.0,4.0,False,1.08,599.0
grafo5323.44.gml,6.0,4.0,2.0,False,0.95,599.0
grafo9333.80.gml,20.0,5.0,15.0,False,1.87,599.0
grafo6242.93.gml,31.0,12.0,19.0,False,2.22,599.0
grafo6305.62.gml,13.0,8.0,5.0,False,1.37,599.0
grafo3598.55.gml,11.0,4.0,7.0,False,1.31,599.0
grafo7576.38.gml,5.0,3.0,2.0,False,0.97,599.0
grafo3444.41.gml,7.0,2.0,5.0,False,1.15,599.0
grafo8705.82.gml,16.0,8.0,8.0,False,1.58,599.0
grafo9339.83.gml,13.0,4.0,9.0,False,1.62,599.0
grafo3288.37.gml,5.0,2.0,3.0,False,1.06,599.0
grafo5497.77.gml,9.0,4.0,5.0,False,1.37,599.0
grafo8108.85.gml,15.0,7.0,8.0,False,1.7,599.0
grafo4005.39.gml,6.0,3.0,3.0,False,1.02,599.0
grafo4658.76.gml,18.0,3.0,15.0,False,1.98,599.0
grafo8127.78.gml,44.0,15.0,29.0,False,2.65,599.0
grafo7981.85.gml,17.0,7.0,10.0,False,1.78,599.0
grafo8862.89.gml,8.0,2.0,6.0,False,1.42,599.0
grafo10644.100.gml,25.0,8.0,17.0,False,2.24,599.0
grafo11246.93.gml,11.0,2.0,9.0,False,1.51,599.0
grafo7766.40.gml,8.0,5.0,3.0,False,1.03,599.0
grafo5502.37.gml,5.0,3.0,2.0,False,1.03,599.0
grafo6419.45.gml,7.0,3.0,4.0,False,1.08,599.0
grafo1500.50.gml,14.0,7.0,7.0,False,1.41,599.0
grafo4394.55.gml,11.0,4.0,7.0,False,1.35,599.0
grafo11327.39.gml,14.0,9.0,5.0,False,1.19,599.0
grafo5954.49.gml,7.0,3.0,4.0,False,1.13,599.0
grafo5011.62.gml,11.0,4.0,7.0,False,1.34,599.0
grafo2985.43.gml,6.0,2.0,4.0,False,1.01,599.0
grafo5142.36.gml,5.0,3.0,2.0,False,0.99,599.0
grafo5249.56.gml,15.0,7.0,8.0,False,1.67,599.0
grafo8501.94.gml,8.0,3.0,5.0,False,1.4,599.0
grafo4662.50.gml,8.0,6.0,2.0,False,1.07,599.0
grafo3351.38.gml,5.0,3.0,2.0,False,0.89,599.0
grafo7386.46.gml,10.0,3.0,7.0,False,1.33,599.0
grafo5507.46.gml,8.0,4.0,4.0,False,1.08,599.0
grafo3532.99.gml,36.0,13.0,23.0,False,2.72,599.0
grafo7489.39.gml,8.0,3.0,5.0,False,1.09,599.0
grafo5403.58.gml,18.0,12.0,6.0,False,1.41,599.0
grafo11439.92.gml,37.0,4.0,33.0,False,2.38,599.0
grafo8479.74.gml,8.0,4.0,4.0,False,1.13,599.0
grafo6864.55.gml,8.0,1.0,7.0,False,1.28,599.0
grafo11064.94.gml,21.0,9.0,12.0,False,1.84,599.0
grafo5051.80.gml,21.0,7.0,14.0,False,1.96,599.0
grafo11032.36.gml,6.0,4.0,2.0,False,0.95,599.0
grafo9204.71.gml,13.0,2.0,11.0,False,1.77,599.0
grafo10857.95.gml,25.0,10.0,15.0,False,1.96,599.0
grafo4598.61.gml,9.0,3.0,6.0,False,1.33,599.0
grafo5965.37.gml,7.0,2.0,5.0,False,1.12,599.0
grafo10140.40.gml,10.0,7.0,3.0,False,1.0,599.0
grafo5951.34.gml,5.0,3.0,2.0,False,0.95,599.0
grafo3720.35.gml,6.0,3.0,3.0,False,1.0,599.0
grafo11500.36.gml,4.0,2.0,2.0,False,0.91,599.0
grafo7424.45.gml,13.0,9.0,4.0,False,1.09,599.0
grafo2853.23.gml,5.0,1.0,4.0,False,1.0,599.0
grafo8203.81.gml,15.0,3.0,12.0,False,1.82,599.0
grafo6505.80.gml,22.0,11.0,11.0,False,1.68,599.0
grafo6701.47.gml,24.0,14.0,10.0,False,1.63,599.0
grafo10278.40.gml,9.0,6.0,3.0,False,1.06,599.0
grafo9157.68.gml,13.0,4.0,9.0,False,1.57,599.0
grafo5268.43.gml,4.0,2.0,2.0,False,0.94,599.0
grafo7320.38.gml,13.0,7.0,6.0,False,1.26,599.0
grafo9483.83.gml,22.0,10.0,12.0,False,1.72,599.0
grafo3494.39.gml,11.0,5.0,6.0,False,1.2,599.0
grafo11189.94.gml,25.0,7.0,18.0,False,2.38,599.0
grafo5933.75.gml,18.0,7.0,11.0,False,1.61,599.0
grafo3286.59.gml,15.0,4.0,11.0,False,1.52,599.0
grafo9450.84.gml,25.0,7.0,18.0,False,2.29,599.0
grafo10486.97.gml,15.0,4.0,11.0,False,1.84,599.0
grafo7879.80.gml,16.0,2.0,14.0,False,1.96,599.0
grafo4885.71.gml,12.0,4.0,8.0,False,1.67,599.0
grafo6655.38.gml,11.0,5.0,6.0,False,1.2,599.0
grafo5404.44.gml,11.0,4.0,7.0,False,1.3,599.0
grafo7850.66.gml,10.0,4.0,6.0,False,1.24,599.0
grafo6630.56.gml,8.0,4.0,4.0,False,1.23,599.0
grafo4208.67.gml,9.0,1.0,8.0,False,1.39,599.0
grafo5613.35.gml,6.0,2.0,4.0,False,1.09,599.0
grafo1469.67.gml,10.0,6.0,4.0,False,1.22,599.0
grafo10507.93.gml,18.0,4.0,14.0,False,1.97,599.0
grafo4644.84.gml,25.0,9.0,16.0,False,2.18,599.0
grafo5055.56.gml,9.0,2.0,7.0,False,1.36,599.0
grafo5867.42.gml,7.0,5.0,2.0,False,1.0,599.0
grafo6956.39.gml,9.0,4.0,5.0,False,1.24,599.0
grafo10008.42.gml,10.0,3.0,7.0,False,1.25,599.0
grafo8420.81.gml,19.0,8.0,11.0,False,1.65,599.0
grafo5572.82.gml,18.0,6.0,12.0,False,1.92,599.0
grafo4566.62.gml,16.0,6.0,10.0,False,1.48,599.0
grafo8944.97.gml,17.0,5.0,12.0,False,2.01,599.0
grafo11052.97.gml,26.0,8.0,18.0,False,2.34,599.0
grafo3841.57.gml,12.0,4.0,8.0,False,1.42,599.0
grafo3140.55.gml,4.0,2.0,2.0,False,1.05,599.0
grafo3756.90.gml,20.0,6.0,14.0,False,2.05,599.0
grafo10811.96.gml,28.0,5.0,23.0,False,2.39,599.0
grafo4994.65.gml,22.0,11.0,11.0,False,1.87,599.0
grafo1035.37.gml,6.0,3.0,3.0,False,1.1,599.0
grafo9997.40.gml,4.0,1.0,3.0,False,0.98,599.0
grafo9731.81.gml,10.0,4.0,6.0,False,1.58,599.0
grafo8320.83.gml,19.0,6.0,13.0,False,1.73,599.0
grafo4535.52.gml,7.0,4.0,3.0,False,1.09,599.0
grafo6999.94.gml,13.0,3.0,10.0,False,1.71,599.0
grafo3496.54.gml,16.0,8.0,8.0,False,1.62,599.0
grafo5375.71.gml,17.0,9.0,8.0,False,1.54,599.0
grafo7278.42.gml,8.0,3.0,5.0,False,1.23,599.0
grafo9362.98.gml,26.0,3.0,23.0,False,2.44,599.0
grafo3908.41.gml,7.0,3.0,4.0,False,1.09,599.0
grafo11537.91.gml,22.0,7.0,15.0,False,2.18,599.0
grafo10953.93.gml,16.0,6.0,10.0,False,1.87,599.0
grafo7066.53.gml,12.0,5.0,7.0,False,1.39,599.0
grafo3821.55.gml,19.0,6.0,13.0,False,1.75,599.0
